==================================================
        GENERAL MATERIALS SUMMARY - 7DS ORIGINS   
==================================================

Item (Material)                          | Total  | Acquired   | Remaining
---------------------------------------------------------------------------
Brilliant Engraving Seal                 | 78     | 21         | 78       
Corroded Desire                          | 8      | 2          | 8        
Destroyer Obsession                      | 11     | 0          | 11        
Ferocius Watcher's                       | 10     | 6          | 10        
Fiery Essence (Finest)                   | 78     | 5          | 78        
Magic-infused Enhanced Metal             | 21     | 21         | 21       
Revived Nightmare                        | 19     | 6          | 19       
Star Guardian                            | 17     | 3          | 17       
Sturdy Engraving Seal                    | 7      | 7          | 7       
Thunderous (Finest)                      | 11     | 2          | 11        
Twisted Wish                             | 1      | 4          | 1        
Worn Engraving Seal                      | 1      | 1          | 1        
[Quest] Liones                           | 8      | 1          | 8        
